"Date","BRAV3.SA.Open","BRAV3.SA.High","BRAV3.SA.Low","BRAV3.SA.Close","BRAV3.SA.Volume","BRAV3.SA.Adjusted"
2023-10-11,30.6499996185303,31.7000007629395,30.6499996185303,31.3099994659424,4547200,31.3099994659424
2023-10-13,32,33.0800018310547,31.8500003814697,32.310001373291,9625500,32.310001373291
2023-10-16,32.4900016784668,32.5900001525879,31.8899993896484,32.2400016784668,3723400,32.2400016784668
2023-10-17,32.0699996948242,32.9199981689453,32.0099983215332,32.9199981689453,4737100,32.9199981689453
2023-10-18,33.1100006103516,33.6599998474121,32.2000007629395,32.6399993896484,7410000,32.6399993896484
2023-10-19,32.3300018310547,32.5499992370605,31.9799995422363,31.9799995422363,10717600,31.9799995422363
2023-10-20,32.0999984741211,32.3800010681152,31.7999992370605,31.8799991607666,5478500,31.8799991607666
2023-10-23,31.5799999237061,32.7700004577637,31.2399997711182,32.0999984741211,5108200,32.0999984741211
2023-10-24,32.6300010681152,33.0499992370605,32.0999984741211,32.810001373291,4778000,32.810001373291
2023-10-25,33,33.5,32.0999984741211,32.3400001525879,5190000,32.3400001525879
2023-10-26,32.1399993896484,32.7000007629395,31.75,32.560001373291,2911800,32.560001373291
2023-10-27,32.9000015258789,33.1399993896484,31.7999992370605,32.0900001525879,3358200,32.0900001525879
2023-10-30,32.1100006103516,32.689998626709,31.5400009155273,31.6299991607666,3203600,31.6299991607666
2023-10-31,31.7600002288818,32.6800003051758,31.7600002288818,32.439998626709,3355600,32.439998626709
2023-11-01,32.6500015258789,33.3300018310547,32.5200004577637,32.6399993896484,4274800,32.6399993896484
2023-11-03,33.3199996948242,33.5400009155273,33.0499992370605,33.2799987792969,3163200,33.2799987792969
2023-11-06,33.439998626709,33.6199989318848,32.810001373291,32.8199996948242,3631500,32.8199996948242
2023-11-07,32.4500007629395,33.2200012207031,32.3800010681152,33.0699996948242,3324000,33.0699996948242
2023-11-08,33.0200004577637,33.8499984741211,32.3600006103516,32.6100006103516,6843000,32.6100006103516
2023-11-09,34.0099983215332,34.3800010681152,31.2199993133545,31.3700008392334,15431300,31.3700008392334
2023-11-10,31.6100006103516,32.6399993896484,31.6000003814697,31.8099994659424,4738300,31.8099994659424
2023-11-13,31.7700004577637,31.9799995422363,31.2199993133545,31.5,3172300,31.5
2023-11-14,31.5699996948242,32.8800010681152,31.3600006103516,32.5299987792969,6084800,32.5299987792969
2023-11-16,32.3499984741211,32.7099990844727,31.2299995422363,31.6900005340576,5148500,31.6900005340576
2023-11-17,32.0499992370605,33.2200012207031,31.5799999237061,32.5999984741211,6051400,32.5999984741211
2023-11-20,33,33.4700012207031,32.810001373291,32.9500007629395,3766800,32.9500007629395
2023-11-21,32.8499984741211,33.4500007629395,32.4599990844727,32.8600006103516,3685300,32.8600006103516
2023-11-22,32.6800003051758,32.8899993896484,32.2400016784668,32.5,5712100,32.5
2023-11-23,32.4000015258789,32.5800018310547,32.1500015258789,32.3800010681152,2086300,32.3800010681152
2023-11-24,32.2400016784668,32.5800018310547,31.7299995422363,32.0999984741211,3381500,32.0999984741211
2023-11-27,31.2900009155273,31.5499992370605,30.1100006103516,30.7299995422363,11594800,30.7299995422363
2023-11-28,30.7199993133545,30.7600002288818,30.1700000762939,30.3400001525879,5777500,30.3400001525879
2023-11-29,30.5,30.7999992370605,30,30,5462300,30
2023-11-30,30.2000007629395,30.3700008392334,29.7000007629395,29.9799995422363,4483800,29.9799995422363
2023-12-01,29.9099998474121,29.9799995422363,29.3299999237061,29.3999996185303,6411900,29.3999996185303
2023-12-04,29.3899993896484,29.4699993133545,28.2000007629395,28.2999992370605,9004000,28.2999992370605
2023-12-05,28.2999992370605,28.3999996185303,27.6499996185303,27.8799991607666,10051300,27.8799991607666
2023-12-06,28,28.0499992370605,26.7000007629395,26.9099998474121,8582400,26.9099998474121
2023-12-07,27.0100002288818,27.3199996948242,26.5200004577637,26.9300003051758,6994300,26.9300003051758
2023-12-08,27.2900009155273,27.7900009155273,26.8500003814697,27.3799991607666,7658700,27.3799991607666
2023-12-11,27.4500007629395,27.5699996948242,26.9599990844727,27.3999996185303,6627000,27.3999996185303
2023-12-12,27.3299999237061,27.3899993896484,26.3799991607666,26.6000003814697,8988600,26.6000003814697
2023-12-13,26.7199993133545,26.9500007629395,26.1100006103516,26.6900005340576,8400000,26.6900005340576
2023-12-14,27.3099994659424,27.6900005340576,26.9699993133545,27.4899997711182,14011300,27.4899997711182
2023-12-15,27.6499996185303,27.7000007629395,26.3500003814697,26.3500003814697,11885500,26.3500003814697
2023-12-18,26.5900001525879,27.2399997711182,26.4099998474121,26.6800003051758,4958200,26.6800003051758
2023-12-19,26.7800006866455,27,26.6000003814697,26.7999992370605,3900900,26.7999992370605
2023-12-20,27.0200004577637,27.0200004577637,26.1499996185303,26.3199996948242,6168300,26.3199996948242
2023-12-21,26.25,26.5499992370605,25.9799995422363,26.3999996185303,3444200,26.3999996185303
2023-12-22,26.5,26.6900005340576,26.2600002288818,26.4200000762939,3644200,26.4200000762939
2023-12-26,26.5499992370605,26.7800006866455,26.4599990844727,26.4699993133545,4176900,26.4699993133545
2023-12-27,26.4699993133545,26.75,26.3500003814697,26.4300003051758,2884100,26.4300003051758
2023-12-28,26.4699993133545,26.4899997711182,26.0400009155273,26.2800006866455,3878000,26.2800006866455
2024-01-02,26.5,26.7399997711182,25.9599990844727,26.0100002288818,4372600,26.0100002288818
2024-01-03,26.1000003814697,26.7600002288818,25.8099994659424,26.3500003814697,5734800,26.3500003814697
2024-01-04,26.3999996185303,26.4500007629395,25.6100006103516,25.8199996948242,4438800,25.8199996948242
2024-01-05,25.8199996948242,26.4400005340576,25.6700000762939,26.1499996185303,3417300,26.1499996185303
2024-01-08,25.8899993896484,27.4200000762939,25.6599998474121,27.3700008392334,13105900,27.3700008392334
2024-01-09,27.5,28.75,27.2800006866455,28.5200004577637,10290300,28.5200004577637
2024-01-10,28.6399993896484,28.8700008392334,27.8199996948242,28.3999996185303,4688700,28.3999996185303
2024-01-11,28.6299991607666,29.0499992370605,28.2399997711182,28.5799999237061,7351100,28.5799999237061
2024-01-12,29.1499996185303,29.3799991607666,28.3199996948242,28.7099990844727,5067700,28.7099990844727
2024-01-15,28.5699996948242,29.2000007629395,28.3999996185303,29.0400009155273,3859400,29.0400009155273
2024-01-16,29.0300006866455,29.1599998474121,28.3400001525879,28.4300003051758,5245500,28.4300003051758
2024-01-17,28.2000007629395,28.2000007629395,27.1000003814697,27.2999992370605,5665400,27.2999992370605
2024-01-18,30.0499992370605,31.8999996185303,28.5799999237061,29.3799991607666,28367200,29.3799991607666
2024-01-19,29.25,29.7199993133545,28.5599994659424,29.5499992370605,7839600,29.5499992370605
2024-01-22,29.4300003051758,29.7000007629395,28.6000003814697,29.1499996185303,4386800,29.1499996185303
2024-01-23,29.1499996185303,29.7299995422363,28.0200004577637,28.5300006866455,5431100,28.5300006866455
2024-01-24,28.5499992370605,29.0400009155273,28.1299991607666,28.3600006103516,4070600,28.3600006103516
2024-01-25,28.4699993133545,28.5699996948242,27.9699993133545,28.3500003814697,4274800,28.3500003814697
2024-01-26,28.1499996185303,28.75,28,28.75,2761100,28.75
2024-01-29,28.8099994659424,28.8999996185303,27.8799991607666,28.1100006103516,5619500,28.1100006103516
2024-01-30,27.8600006103516,28.0400009155273,27.4599990844727,27.7299995422363,2184900,27.7299995422363
2024-01-31,27.6399993896484,28.0799999237061,27.3099994659424,27.3799991607666,2510500,27.3799991607666
2024-02-01,27.7999992370605,27.8999996185303,26.5699996948242,26.7099990844727,7611700,26.7099990844727
2024-02-02,26.6800003051758,27.0699996948242,26.3199996948242,26.8999996185303,6717300,26.8999996185303
2024-02-05,26.7999992370605,27.2399997711182,26.6000003814697,27.1900005340576,18156000,27.1900005340576
2024-02-06,27.2000007629395,28.5300006866455,27.1900005340576,28.5300006866455,5513800,28.5300006866455
2024-02-07,28.5300006866455,29.3099994659424,28.3199996948242,29.2299995422363,5211000,29.2299995422363
2024-02-08,29.2299995422363,29.3299999237061,27.8899993896484,29.3099994659424,6908300,29.3099994659424
2024-02-09,29.3500003814697,29.4300003051758,28.0200004577637,28.1900005340576,5513700,28.1900005340576
2024-02-14,28,28.5300006866455,27.6299991607666,27.8999996185303,2630400,27.8999996185303
2024-02-15,27.8999996185303,28.7700004577637,27.7700004577637,28.5100002288818,2788100,28.5100002288818
2024-02-16,28.5,29.6599998474121,28.3099994659424,29.3299999237061,4670400,29.3299999237061
2024-02-19,29.2600002288818,29.2800006866455,28.7399997711182,29.1900005340576,1698200,29.1900005340576
2024-02-20,28.8299999237061,29.2900009155273,28.6900005340576,29.1800003051758,2911100,29.1800003051758
2024-02-21,29.1499996185303,29.5,28.8700008392334,29.4400005340576,2751400,29.4400005340576
2024-02-22,29.5,29.9200000762939,28.9599990844727,29.3500003814697,3674500,29.3500003814697
2024-02-23,29.1700000762939,29.25,28.1700000762939,28.1700000762939,4765200,28.1700000762939
2024-02-26,28.1599998474121,28.4799995422363,27.8500003814697,28.1100006103516,3237500,28.1100006103516
2024-02-27,28.2900009155273,28.5499992370605,28.0699996948242,28.3400001525879,2665600,28.3400001525879
2024-02-28,28.1100006103516,28.8999996185303,27.9899997711182,28.5799999237061,3758400,28.5799999237061
2024-02-29,28.4899997711182,28.6499996185303,27.9500007629395,27.9500007629395,2784300,27.9500007629395
2024-03-01,28.1100006103516,28.6599998474121,28.1100006103516,28.2600002288818,2090000,28.2600002288818
2024-03-04,28.2800006866455,28.5699996948242,27.7999992370605,28.0400009155273,1907100,28.0400009155273
2024-03-05,28.0100002288818,28.5499992370605,28.0100002288818,28.25,1959600,28.25
2024-03-06,28.3799991607666,28.5300006866455,26.8400001525879,26.9799995422363,8394500,26.9799995422363
2024-03-07,27.6000003814697,28.1399993896484,26.9300003051758,27.1000003814697,7198300,27.1000003814697
2024-03-08,27.0799999237061,28.8999996185303,27.0200004577637,28.2600002288818,8280000,28.2600002288818
2024-03-11,28.2700004577637,29.3400001525879,28.2399997711182,29.0900001525879,4418000,29.0900001525879
2024-03-12,29.0900001525879,29.5,28.7000007629395,29.3999996185303,2809200,29.3999996185303
2024-03-13,29.5,29.8899993896484,29.5,29.6599998474121,2589400,29.6599998474121
2024-03-14,29.7999992370605,29.9500007629395,28.8500003814697,29.3199996948242,3671600,29.3199996948242
