"Date","LWSA3.SA.Open","LWSA3.SA.High","LWSA3.SA.Low","LWSA3.SA.Close","LWSA3.SA.Volume","LWSA3.SA.Adjusted"
2020-10-14,16.25,17.4375,16.0375003814697,17.2124996185303,11471200,16.738094329834
2020-10-15,16.9624996185303,17.1200008392334,16.75,16.8575000762939,5456400,16.3928756713867
2020-10-16,16.9274997711182,17.5900001525879,16.7900009155273,17.3974990844727,6323600,16.9179935455322
2020-10-19,17.5249996185303,17.875,17.2700004577637,17.4775009155273,5837200,16.9957904815674
2020-10-20,17.4775009155273,17.7950000762939,17.1175003051758,17.1924991607666,4731600,16.7186431884766
2020-10-21,17.2000007629395,17.7849998474121,17.0324993133545,17.4750003814697,5122800,16.9933605194092
2020-10-22,17.7250003814697,17.9500007629395,17.3325004577637,17.5324993133545,3311200,17.0492725372314
2020-10-23,17.5874996185303,17.7724990844727,17.2674999237061,17.75,3704800,17.260778427124
2020-10-26,17.6674995422363,18.125,17.2724990844727,17.5400009155273,3138800,17.056568145752
2020-10-27,17.6450004577637,18.0300006866455,17.4349994659424,17.4575004577637,3665200,16.9763412475586
2020-10-28,17.125,17.125,16.1825008392334,16.4125003814697,6326000,15.9601430892944
2020-10-29,16.2250003814697,17.7450008392334,15.75,17.6499996185303,9364000,17.1635341644287
2020-10-30,17.6399993896484,17.6399993896484,16.7849998474121,17.2875003814697,8339200,16.8110256195068
2020-11-03,17.7999992370605,18.6175003051758,17.5725002288818,18.5275001525879,8978400,18.0168495178223
2020-11-04,18.7999992370605,19.6375007629395,18.4300003051758,18.4925003051758,9862800,17.9828147888184
2020-11-05,18.9500007629395,19.4249992370605,18.7749996185303,19.1075000762939,6375200,18.5808639526367
2020-11-06,18.9375,19.2674999237061,18.6424999237061,18.8999996185303,5712000,18.3790836334229
2020-11-09,19.3474998474121,19.3600006103516,17.9599990844727,18,10661600,17.5038890838623
2020-11-10,18.1000003814697,18.1200008392334,16.5900001525879,16.7525005340576,9980800,16.290771484375
2020-11-11,16.9025001525879,17.4449996948242,16.3225002288818,16.7124996185303,10210400,16.2518749237061
2020-11-12,16.875,17.4349994659424,16.1749992370605,17.0750007629395,11142800,16.6043834686279
2020-11-13,17.1674995422363,17.625,16.8899993896484,17.25,7723200,16.7745609283447
2020-11-16,17.4125003814697,17.5349998474121,16.6949996948242,16.9125003814697,4425200,16.446361541748
2020-11-17,16.7625007629395,16.9424991607666,16.5900001525879,16.8174991607666,6827600,16.3539810180664
2020-11-18,16.8274993896484,17.1650009155273,16.6275005340576,17.0149993896484,5320400,16.5460376739502
2020-11-19,16.9675006866455,16.9675006866455,16.5049991607666,16.6474990844727,4625200,16.188663482666
2020-11-23,16.4874992370605,16.5,15.3924999237061,15.9624996185303,7105600,15.5225458145142
2020-11-24,15.9700002670288,16.2824993133545,15.5550003051758,15.960000038147,9223200,15.5201139450073
2020-11-25,15.9975004196167,16.7474994659424,15.9549999237061,16.6399993896484,6338000,16.1813735961914
2020-11-26,16.6375007629395,17.0949993133545,16.3400001525879,16.9599990844727,3630400,16.4925518035889
2020-11-27,17.0499992370605,17.2425003051758,16.8349990844727,16.8799991607666,2354000,16.4147567749023
2020-11-30,16.8999996185303,17.1875,16.2700004577637,16.5349998474121,4555600,16.0792675018311
2020-12-01,16.5,16.7924995422363,15.8024997711182,16.1949996948242,7663200,15.7486371994019
2020-12-02,16,16.2724990844727,15.6774997711182,15.8100004196167,3963600,15.374249458313
2020-12-03,15.9250001907349,16.0699996948242,15.7550001144409,15.7825002670288,3844800,15.3475074768066
2020-12-04,16.125,16.125,15.5799999237061,15.6999998092651,2814000,15.2672805786133
2020-12-07,15.7875003814697,16.2374992370605,15.6750001907349,15.7550001144409,3907200,15.320764541626
2020-12-08,15.8999996185303,16.0275001525879,15.6125001907349,15.9300003051758,2576000,15.4909420013428
2020-12-09,15.9975004196167,16.9025001525879,15.9075002670288,15.9224996566772,10169200,15.5145959854126
2020-12-10,15.9499998092651,16.2999992370605,15.2524995803833,16.2075004577637,7894000,15.7922954559326
2020-12-11,16.2399997711182,16.7175006866455,15.8299999237061,15.8999996185303,7483200,15.4926729202271
2020-12-14,16.2474994659424,17.1224994659424,16.0375003814697,16.7749996185303,7592800,16.3452568054199
2020-12-15,16.7749996185303,17.0825004577637,16.3824996948242,16.7625007629395,3889600,16.3330783843994
2020-12-16,16.8225002288818,17.0699996948242,16.6749992370605,16.9950008392334,3015600,16.5596199035645
2020-12-17,16.9950008392334,18.1124992370605,16.9874992370605,17.6975002288818,7016400,17.2441253662109
2020-12-18,17.6975002288818,18.5799999237061,17.5750007629395,18.5424995422363,6560800,18.067476272583
2020-12-21,18,19,17.8274993896484,18.1424999237061,6579600,17.6777248382568
2020-12-22,18.3624992370605,18.9099998474121,18.3225002288818,18.4624996185303,5668400,17.9895267486572
2020-12-23,18.6324996948242,19.2649993896484,18.6025009155273,19.2250003814697,6327200,18.7324924468994
2020-12-28,19.2625007629395,19.875,19.25,19.6924991607666,3862800,19.1880149841309
2020-12-29,19.7800006866455,19.9174995422363,18.8125,18.9750003814697,4726000,18.4888973236084
2020-12-30,19.1025009155273,20.375,19,20.1175003051758,8790400,19.6021289825439
2021-01-04,20.25,20.6175003051758,19.8500003814697,20.1599998474121,8478400,19.6435394287109
2021-01-05,20.1625003814697,20.8225002288818,19.6949996948242,20.6625003814697,5420000,20.1331653594971
2021-01-06,20.3899993896484,20.6625003814697,20.0499992370605,20.1499996185303,4169200,19.6337947845459
2021-01-07,20.2049999237061,20.5,19.6399993896484,19.6774997711182,3968000,19.1734008789062
2021-01-08,19.7199993133545,20.2299995422363,19.3425006866455,19.7625007629395,4412000,19.2562236785889
2021-01-11,20.3400001525879,22.2224998474121,20.1000003814697,22.0375003814697,14864800,21.4729423522949
2021-01-12,22.4074993133545,24.8500003814697,22.3624992370605,24.5249996185303,16836800,23.8967151641846
